Channel.002
Axis [s],ROI.01 [],ROI.02 [],ROI.03 []
55.345,21.5494505494506,25.9087837837838,23.0981481481481
55.845,21.6322344322344,25.0439189189189,23.3077777777778
56.345,21.6175824175824,25.7609797297297,23.6674074074074
56.845,21.3098901098901,25.4923986486486,23.0203703703704
57.345,21.6153846153846,24.8445945945946,23.01
57.845,21.7611721611722,25.8226351351351,23.0159259259259
58.345,21.8153846153846,26.1756756756757,22.7914814814815
58.845,22.0058608058608,25.6216216216216,22.4722222222222
59.345,21.5677655677656,25.5236486486486,22.647037037037
59.845,21.443956043956,24.9408783783784,22.4881481481481
60.345,21.7135531135531,24.9510135135135,22.6707407407407
60.845,20.9003663003663,24.0844594594595,22.5811111111111
61.345,21.5399267399267,25.1393581081081,22.5414814814815
61.845,21.3487179487179,25.5422297297297,22.4618518518519
62.345,20.8263736263736,24.9679054054054,22.377037037037
62.845,21.229304029304,24.5084459459459,22.7266666666667
63.345,20.9260073260073,25.1672297297297,22.0088888888889
63.845,20.8805860805861,24.8234797297297,22.4407407407407
64.345,21.2205128205128,24.6503378378378,22.0003703703704
64.845,20.7260073260073,24.6148648648649,22.1903703703704
65.345,20.3509157509158,23.9256756756757,22.2118518518519
65.845,20.9289377289377,24.6047297297297,22.1537037037037
66.345,21.1516483516484,24.3040540540541,22.1659259259259
66.845,21.0117216117216,23.8733108108108,21.6414814814815
67.345,20.8139194139194,24.152027027027,21.7062962962963
67.845,20.9553113553114,23.9603040540541,21.5692592592593
68.345,20.9369963369963,24.3344594594595,21.2403703703704
68.845,20.2915750915751,24.1722972972973,21.2637037037037
69.345,20.5802197802198,23.3994932432432,21.3096296296296
69.845,20.4197802197802,23.8344594594595,21.4385185185185
70.345,20.4344322344322,24.0903716216216,21.3718518518519
70.845,20.4263736263736,23.8547297297297,21.6196296296296
71.345,20.2520146520147,23.7618243243243,21.5437037037037
71.845,20.4549450549451,22.9121621621622,21.4455555555556
72.345,21.0315018315018,23.7415540540541,21.5751851851852
72.845,20.956043956044,23.6689189189189,21.3103703703704
73.345,20.9106227106227,23.2331081081081,21.117037037037
73.845,20.3326007326007,22.5337837837838,21.5522222222222
74.345,20.5992673992674,22.7516891891892,21.3392592592593
74.845,20.4271062271062,22.5337837837838,21.7196296296296
75.345,20.1274725274725,23.0692567567568,21.3748148148148
75.845,19.9032967032967,22.2483108108108,21.1311111111111
76.345,20.1948717948718,22.5472972972973,21.1618518518519
76.845,20.643956043956,22.5540540540541,21.7014814814815
